GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CSE364-project,vimprojector.recommender,TopRating,0,226,0,22,0,47,0,18,0,7
CSE364-project,vimprojector.recommender,RatingCounter,0,39,0,0,0,13,0,5,0,5
CSE364-project,vimprojector.recommender,RecommendedMovieInfo,0,12,0,0,0,5,0,1,0,1
CSE364-project,vimprojector.customdatastructure,StaticFieldList,0,66,0,4,0,14,0,5,0,3
CSE364-project,vimprojector.customdatastructure,Pair,0,79,0,2,0,17,0,6,0,5
CSE364-project,vimprojector.customdatastructure,Bitmap,0,49,0,0,0,13,0,6,0,6
CSE364-project,vimprojector.customdatastructure,OneToMany,0,107,0,14,0,23,0,13,0,6
CSE364-project,vimprojector.parsinginputargs,ParsingGenres,0,52,0,4,0,11,0,7,0,5
CSE364-project,vimprojector.parsinginputargs,ArgumentParser,3,4,0,0,1,1,1,1,1,1
CSE364-project,vimprojector.parsinginputargs,ParsingGender,0,57,0,4,0,11,0,6,0,4
CSE364-project,vimprojector.parsinginputargs,ParsingOccupation,0,72,0,6,0,14,0,8,0,5
CSE364-project,vimprojector.parsinginputargs,ParsingInputArgument,0,49,0,4,0,10,0,5,0,3
CSE364-project,vimprojector.parsinginputargs,ParsingAge,0,100,0,16,0,30,0,12,0,4
CSE364-project,group10.CSE364project,MovieData,21,15,0,0,9,6,6,2,6,2
CSE364-project,group10.CSE364project,UserData,71,0,0,0,25,0,11,0,11,0
CSE364-project,group10.CSE364project,Cse364ProjectApplication,5,3,0,0,2,1,1,1,1,1
CSE364-project,group10.CSE364project,MovieDataController,40,6,0,0,8,3,2,1,2,1
CSE364-project,group10.CSE364project,InputMovieData,26,0,0,0,10,0,6,0,6,0
CSE364-project,group10.CSE364project,Milestone3,12,424,0,28,3,79,1,16,1,2
CSE364-project,group10.CSE364project,Milestone2,11,419,1,29,3,81,2,16,1,2
CSE364-project,vimprojector.loadingdata,FilePreprocessing,3,194,0,8,1,43,1,8,1,4
CSE364-project,vimprojector.loadingdata,DataFiltering,3,68,0,6,1,14,1,5,1,2
CSE364-project,vimprojector.loadingdata,ContainsAllStrategy,0,7,0,0,0,2,0,2,0,2
CSE364-project,vimprojector.loadingdata,DataFilteringByCondition,0,82,0,6,0,18,0,7,0,4
CSE364-project,vimprojector.loadingdata,ContainsAtLeastOneStrategy,0,7,0,0,0,2,0,2,0,2
CSE364-project,vimprojector.loadingdata,TotalEqualStrategy,0,18,0,4,0,2,0,4,0,2
